n,sigma,ratio_sigma_log2n
63728127,592,22.834725
95592191,591,22.293147
127456254,593,22.023792
127456255,593,22.023792
143388287,590,21.774952
169941673,595,21.762615
191184382,592,21.519143
191184383,592,21.519143
226588897,597,21.509249
268549803,602,21.499528
215082431,589,21.278660
254912508,594,21.270937
254912509,594,21.270937
254912510,594,21.270937
302118529,599,21.263349
286776574,591,21.035508
286776575,591,21.035508
339883345,596,21.030001
339883346,596,21.030001
339883347,596,21.030001
402824705,601,21.024589
670617279,616,21.008895
322623647,588,20.802910
382368764,593,20.799435
382368765,593,20.799435
382368766,593,20.799435
453177793,598,20.796020
453177794,598,20.796020
453177795,598,20.796020
537099606,603,20.792663
537099607,603,20.792663
430164862,590,20.571602
430164863,590,20.571602
509825016,595,20.570137
509825018,595,20.570137
509825020,595,20.570137
509825021,595,20.570137
604237057,600,20.568697
604237058,600,20.568697
604237059,600,20.568697
156977263,560,20.568589
716132809,605,20.567282
848749995,610,20.565889
1005925919,615,20.564520
954843745,607,20.348172
954843751,607,20.348172
805649409,602,20.347753
805649410,602,20.347753
805649411,602,20.347753
805649415,602,20.347753
679766690,597,20.347326
679766691,597,20.347326
679766692,597,20.347326
679766693,597,20.347326
679766694,597,20.347326
573553148,592,20.346893
573553149,592,20.346893
573553150,592,20.346893
483935471,587,20.346452
209303017,562,20.332102
906355586,599,20.130731
906355587,599,20.130731
906355588,599,20.130731
906355589,599,20.130731
906355590,599,20.130731
906355591,599,20.130731
764737528,594,20.128504
764737530,594,20.128504
764737532,594,20.128504
764737533,594,20.128504
645247294,589,20.126240
645247295,589,20.126240
279070689,564,20.102612
235465895,559,20.100002
1019650032,596,19.916174
1019650036,596,19.916174
1019650037,596,19.916174
1019650040,596,19.916174
1019650042,596,19.916174
860329724,591,19.912188
860329725,591,19.912188
860329726,591,19.912188
725903207,586,19.908136
313954526,561,19.875306
313954527,561,19.875306
967870942,588,19.698334
967870943,588,19.698334
418606034,563,19.657123
418606035,563,19.657123
353198843,558,19.650721
179008815,538,19.623967
558141378,565,19.445172
558141379,565,19.445172
470931790,560,19.437059
470931791,560,19.437059
397348699,555,19.428807
282878127,545,19.411870
882001191,572,19.248756
744188505,567,19.239192
745341855,567,19.237733
627909052,562,19.229466
627909053,562,19.229466
627909054,562,19.229466
529798265,557,19.219576
447017287,552,19.209518
268513223,537,19.178285
96883183,507,19.110626
992251339,569,19.038932
837212068,564,19.027687
837212069,564,19.027687
837212070,564,19.027687
706397686,559,19.016254
706397687,559,19.016254
596023049,554,19.004629
424317191,544,18.980782
358017630,539,18.968550
358017631,539,18.968550
254877787,529,18.943443
86010015,499,18.931633
129177577,509,18.890486
941863580,561,18.818593
941863581,561,18.818593
941863582,561,18.818593
794697398,556,18.805492
794697399,556,18.805492
795929023,556,18.804072
670525931,551,18.792173
565756254,546,18.778629
565756255,546,18.778629
477356841,541,18.764854
402769835,536,18.750844
339837049,531,18.736591
410595271,536,18.732651
286737511,526,18.722089
172236769,511,18.677025
145324775,506,18.661460
8400511,429,18.650515
148148295,506,18.642373
1059596530,558,18.611869
1059596531,558,18.611869
1061238697,558,18.610483
894034574,553,18.597140
894034575,553,18.597140
754341673,548,18.582165
636475787,543,18.566940
537026446,538,18.551457
537026447,538,18.551457
36791535,466,18.541455
453116065,533,18.535710
453116071,533,18.535710
547460361,538,18.533715
382316681,528,18.519692
461919679,533,18.517832
181222747,508,18.517716
389744731,528,18.501677
129015023,498,18.483490
229649025,513,18.469943
193766366,508,18.452769
193766367,508,18.452769
15733191,441,18.446242
195882855,508,18.442270
165276159,503,18.424704
11200681,431,18.405367
1005788897,550,18.391155
848634382,545,18.374564
848634383,545,18.374564
1025330203,550,18.374098
716035260,540,18.357696
716035261,540,18.357696
716035262,540,18.357696
6649279,416,18.354480
604154753,535,18.340545
604154761,535,18.340545
615892905,535,18.323107
615892907,535,18.323107
509755574,530,18.323104
509755575,530,18.323104
241630329,510,18.313554
105707199,488,18.307667
519659641,530,18.305535
430106267,525,18.305364
430106271,525,18.305364
203875591,505,18.295037
438462823,525,18.287662
172020030,500,18.276189
172020031,500,18.276189
369953007,520,18.269482
306198703,515,18.268959
258355154,510,18.250278
258355155,510,18.250278
263374747,510,18.232165
217987163,505,18.231265
222222443,505,18.213012
187500187,500,18.193517
155428635,495,18.190720
954713681,542,18.169328
954713682,542,18.169328
954713683,542,18.169328
14934241,433,18.168757
656055295,532,18.163666
805539670,537,18.150857
805539671,537,18.150857
805539681,537,18.150857
12600767,428,18.145582
112317531,485,18.135582
10507503,423,18.135113
821190542,537,18.133841
821190543,537,18.133841
679674098,532,18.132077
679674099,532,18.132077
679674107,532,18.132077
568097511,527,18.121447
692879519,532,18.114937
692879521,532,18.114937
573475022,527,18.112981
573475023,527,18.112981
8865705,418,18.111072
584617097,527,18.095715
271834121,507,18.095412
483869551,522,18.093561
55187303,465,18.080839
229360041,502,18.075084
408264937,517,18.073807
46564287,460,18.058534
193522535,497,18.054393
344473538,512,18.053713
344473539,512,18.053713
56924955,465,18.049450
348236187,512,18.043741
351166329,512,18.036057
163284639,492,18.033331
290649550,507,18.033267
290649551,507,18.033267
293824283,507,18.023220
295343871,507,18.018453
296296590,507,18.015478
296296591,507,18.015478
245235559,502,18.012463
247914239,502,18.002339
250000249,502,17.994538
874740393,534,17.977208
210937711,497,17.973226
174857215,492,17.968269
23599787,440,17.964851
906232130,534,17.946379
906232131,534,17.946379
906232142,534,17.946379
906232143,534,17.946379
217740015,497,17.943514
19912321,435,17.940247
923839358,534,17.929651
923839359,534,17.929651
923839361,534,17.929651
764633362,529,17.926010
764633363,529,17.926010
764633371,529,17.926010
932628015,534,17.921432
103359483,477,17.916775
16801022,430,17.915140
16801023,430,17.915140
126357223,482,17.909605
779489462,529,17.909162
779489463,529,17.909162
644034303,524,17.906839
645159401,524,17.905298
645159407,524,17.905298
20638335,435,17.902101
362445494,509,17.901615
362445495,509,17.901615
657694235,524,17.888329
544353249,519,17.884238
305813387,504,17.879901
158560799,487,17.877818
73583070,467,17.870214
73583071,467,17.870214
554929511,519,17.867145
459298050,514,17.862818
459298051,514,17.862818
459298055,514,17.862818
258030046,499,17.857805
258030047,499,17.857805
9973919,415,17.849670
387532732,509,17.841030
387532733,509,17.841030
387532734,509,17.841030
319599855,504,17.839640
112881663,477,17.831618
391765710,509,17.831234
391765711,509,17.831234
63101607,462,17.830146
395062121,509,17.823686
326980745,504,17.818865
270116287,499,17.815699
64040575,462,17.815494
330552318,504,17.808996
330552319,504,17.808996
333333665,504,17.801393
227588847,494,17.794200
281250281,499,17.778709
984082943,531,17.774532
233142953,494,17.771932
284947903,499,17.766781
678818811,521,17.758265
1009951131,531,17.752287
31466382,442,17.745796
31466383,442,17.745796
1019511148,531,17.744224
1019511149,531,17.744224
1019511150,531,17.744224
1019511161,531,17.744224
199675611,489,17.734687
200226031,489,17.732133
852146267,526,17.730421
1039319279,531,17.727778
1039319282,531,17.727778
1039319283,531,17.727778
860212534,526,17.722302
860212535,526,17.722302
860212542,526,17.722302
860212543,526,17.722302
26549761,437,17.719428
483260658,511,17.713394
483260659,511,17.713394
168476297,484,17.710792
876925646,526,17.705740
876925647,526,17.705740
725804327,521,17.700014
885267999,526,17.697603
22401362,432,17.692531
22401363,432,17.692531
116279419,474,17.691174
407751182,506,17.690382
407751183,506,17.690382
739906014,521,17.683336
739906015,521,17.683336
211414398,489,17.681836
211414399,489,17.681836
612397401,516,17.677352
612397406,516,17.677352
612397407,516,17.677352
619086555,516,17.667865
344040060,501,17.666971
344040061,501,17.666971
344040062,501,17.666971
98110761,469,17.666175
18901151,427,17.665088
516710308,511,17.654306
516710309,511,17.654306
516710310,511,17.654306
517511103,511,17.652943
15761255,422,17.649608
522354281,511,17.644751
290283803,496,17.643153
82780955,464,17.640710
525055771,511,17.640218
526749494,511,17.637389
526749495,511,17.637389
644427943,516,17.632921
435974326,506,17.630866
435974327,506,17.630866
358312095,501,17.630514
360155049,501,17.625923
102444271,469,17.624778
440736425,506,17.621243
13298558,417,17.621133
13298559,417,17.621133
244926959,491,17.618916
443015807,506,17.616677
69846431,459,17.614766
444444886,506,17.613828
444444887,506,17.613828
659180527,516,17.613267
85387433,464,17.610765
367853339,501,17.607023
368423431,501,17.605640
450288043,506,17.602282
1071797407,528,17.601534
371871359,501,17.597330
375000374,501,17.589861
375000375,501,17.589861
310857270,496,17.581372
310857271,496,17.581372
379930537,501,17.578232
904995307,523,17.577861
316406567,496,17.565478
262285823,491,17.556679
763589791,518,17.554429
763671163,518,17.554338
41464303,444,17.545685
266968041,491,17.540668
946148967,523,17.540040
326610023,496,17.537040
41955177,444,17.533921
41955183,444,17.533921
955108843,523,17.532045
644347545,513,17.530512
958664551,523,17.528895
966051455,523,17.522391
967739102,523,17.520913
967739103,523,17.520913
967739111,523,17.520913
224635062,486,17.517927
224635063,486,17.517927
334086951,496,17.516816
798313191,518,17.516345
805873087,518,17.508294
983369199,523,17.507356
543668242,508,17.506284
543668243,508,17.506284
35399681,439,17.505919
986541353,523,17.504633
666582811,513,17.501240
816529867,518,17.497086
816529874,518,17.497086
816529875,518,17.497086
817795323,518,17.495765
155039225,476,17.494817
155039227,476,17.494817
673395579,513,17.492485
189535835,481,17.492248
281885865,491,17.491650
458720081,503,17.481643
458720082,503,17.481643
458720083,503,17.481643
832394267,518,17.480693
29868482,434,17.477364
29868483,434,17.477364
688947076,513,17.472860
688947077,513,17.472860
688947078,513,17.472860
688947083,513,17.472860
130814347,471,17.468418
237841199,486,17.466042
696472374,513,17.463538
696472375,513,17.463538
700074361,513,17.459115
132140527,471,17.458995
701216679,513,17.457717
387045070,498,17.456579
387045071,498,17.456579
702332658,513,17.456354
702332659,513,17.456354
859237257,518,17.453723
25201534,429,17.448239
25201535,429,17.448239
581299100,508,17.448227
581299101,508,17.448227
581299102,508,17.448227
479399783,503,17.443078
110374606,466,17.441534
110374607,466,17.441534
30957503,434,17.441076
134933227,471,17.439490
587648566,508,17.438840
587648567,508,17.438840
878907369,518,17.434540
590687742,508,17.434386
590687743,508,17.434386
592593180,508,17.431606
592593181,508,17.431606
592593182,508,17.431606
326569278,493,17.431080
326569279,493,17.431080
21015006,424,17.430687
21015007,424,17.430687
136592361,471,17.428113
112180635,466,17.426262
598230631,508,17.423439
490471118,503,17.423176
490471119,503,17.423176
491231241,503,17.421828
600384057,508,17.420342
404602395,498,17.417502
405174431,498,17.416261
93128574,461,17.414153
93128575,461,17.414153
495828478,503,17.413722
495828479,503,17.413722
169322495,476,17.413446
113849910,466,17.412386
113849911,466,17.412386
500000498,503,17.406438
500000499,503,17.406438
611703087,508,17.404260
17731410,419,17.400474
17731411,419,17.400474
94652411,461,17.398763
504757095,503,17.398214
413835007,498,17.397696
414476361,498,17.396338
506574049,503,17.395095
341383271,493,17.391723
96060863,461,17.384782
421875422,498,17.380839
421875423,498,17.380839
1018119721,520,17.377786
1018228217,520,17.377696
1018228219,520,17.377696
425888799,498,17.372557
349714430,493,17.370408
349714431,493,17.370408
14960879,414,17.369639
427421855,498,17.369416
527939871,503,17.359315
435480030,498,17.353107
435480031,498,17.353107
859130059,515,17.352745
1060468039,520,17.343708
55285737,446,17.340319
299513417,488,17.330748
55940235,446,17.328879
300339047,488,17.328304
724890988,510,17.327378
724890989,510,17.327378
724890990,510,17.327378
888777081,515,17.324174
205061247,478,17.311640
375847819,493,17.307006
909886879,515,17.304461
206718966,478,17.304360
206718967,478,17.304360
206718969,478,17.304360
252714446,483,17.303807
252714447,483,17.303807
611626774,505,17.301586
611626775,505,17.301586
611626777,505,17.301586
253411071,483,17.301345
47199574,441,17.299361
47199575,441,17.299361
47199579,441,17.299361
749905663,510,17.298612
918596100,515,17.296474
918596101,515,17.296474
918596102,515,17.296474
918596107,515,17.296474
918596110,515,17.296474
918596111,515,17.296474
920019739,515,17.295176
757570027,510,17.290009
47687103,441,17.289307
928629833,515,17.287374
933432481,515,17.283056
39358695,436,17.280892
936443545,515,17.280362
936443551,515,17.280362
317121598,488,17.280171
317121599,488,17.280171
174419129,473,17.276656
174419131,473,17.276656
213227815,478,17.276388
516060092,500,17.275356
516060093,500,17.275356
516060094,500,17.275356
770907375,510,17.275263
945352107,515,17.272445
775065464,510,17.270723
775065466,510,17.270723
775065468,510,17.270723
775065469,510,17.270723
776266655,510,17.269416
39824642,436,17.269270
39824643,436,17.269270
39824647,436,17.269270
176187369,473,17.267478
639199710,505,17.263959
639199711,505,17.263959
640275643,505,17.262527
783531420,510,17.261561
783531421,510,17.261561
783531422,510,17.261561
787583657,510,17.257214
145946715,468,17.256086
146124543,468,17.254968
790124241,510,17.254501
790124242,510,17.254501
790124243,510,17.254501
966641915,515,17.253853
435425705,495,17.248678
179910969,473,17.248479
147166140,468,17.248451
147166141,468,17.248451
147166142,468,17.248451
797640841,510,17.246531
653961490,505,17.244541
653961491,505,17.244541
537468143,500,17.240426
33602044,431,17.238589
33602045,431,17.238589
33602046,431,17.238589
540232574,500,17.236027
540232575,500,17.236027
661104636,505,17.235316
661104637,505,17.235316
661104638,505,17.235316
988770791,515,17.234997
41276670,436,17.234003
41276671,436,17.234003
664523711,505,17.230940
664834671,505,17.230543
666667167,505,17.228209
666667330,505,17.228209
666667331,505,17.228209
225763326,478,17.225079
225763327,478,17.225079
367390439,490,17.221541
151799881,468,17.220066
124171433,463,17.219732
28020007,426,17.219110
28020009,426,17.219110
551780009,500,17.217917
675432065,505,17.217140
552635147,500,17.216592
455177694,495,17.210295
455177695,495,17.210295
455571547,495,17.209548
153666407,468,17.208902
834275355,510,17.208830
557807039,500,17.208629
28351727,426,17.207301
126203214,463,17.204750
126203215,463,17.204750
562500562,500,17.201472
562500563,500,17.201472
23456487,421,17.195265
309952623,485,17.194025
567665499,500,17.193672
35212527,431,17.192147
128081150,463,17.191137
128081151,463,17.191137
104769647,458,17.190485
569895806,500,17.190328
569895807,500,17.190328
466285906,495,17.189506
466285907,495,17.189506
23641881,421,17.187292
23641883,421,17.187292
387160903,490,17.175892
106483963,458,17.175390
580640041,500,17.174418
474609851,495,17.174281
87365115,453,17.171739
393428735,490,17.161954
6674175,389,17.159122
88583295,453,17.158746
19947838,416,17.154831
19947839,416,17.154831
966521316,512,17.153448
966521317,512,17.153448
966521318,512,17.153448
399351222,490,17.149007
399351223,490,17.149007
489915035,495,17.147040
400452062,490,17.146624
400452063,490,17.146624
405716839,490,17.135325
91140127,453,17.132106
3732423,374,17.131067
501130425,495,17.127666
501130427,495,17.127666
815502364,507,17.126577
815502365,507,17.126577
815502366,507,17.126577
815502369,507,17.126577
999874217,512,17.125366
336952594,485,17.120888
336952595,485,17.120888
5649499,384,17.120164
275625289,480,17.119542
1010093369,512,17.116967
1012541439,512,17.114969
62196455,443,17.110636
422828796,490,17.099685
422828797,490,17.099685
422828798,490,17.099685
62932764,443,17.099422
62932765,443,17.099422
62932766,443,17.099422
62932775,443,17.099422
688080120,502,17.099257
688080122,502,17.099257
688080124,502,17.099257
688080125,502,17.099257
1033420616,512,17.098138
1033420618,512,17.098138
1033420620,512,17.098138
1033420621,512,17.098138
1033420625,512,17.098138
1035022203,512,17.096863
1035022206,512,17.096863
1035022207,512,17.096863
21146727,416,17.095470
231812223,475,17.093475
284303753,480,17.092277
232558831,475,17.090622
232558838,475,17.090622
232558839,475,17.090622
232558841,475,17.090622
852266281,507,17.089852
1044690591,512,17.089208
1044708561,512,17.089194
1044708562,512,17.089194
1044708563,512,17.089194
853700857,507,17.088454
853700859,507,17.088454
1050111542,512,17.084950
1050111543,512,17.084950
1051825019,512,17.083609
859387183,507,17.082939
1053475327,512,17.082320
1053498988,512,17.082302
1053498989,512,17.082302
1053498990,512,17.082302
1063521121,512,17.074520
1067349435,512,17.071569
580567606,497,17.071477
580567607,497,17.071477
356761799,485,17.071222
871948652,507,17.070898
871948653,507,17.070898
871948654,507,17.070898
872954535,507,17.069942
53099522,438,17.067908
53099523,438,17.067908
53099527,438,17.067908
53099529,438,17.067908
238979239,475,17.066496
716624190,502,17.065170
716624191,502,17.065170
719099675,502,17.062285
719293147,502,17.062060
881472849,507,17.061894
881472850,507,17.061894
881472851,507,17.061894
196213995,470,17.061221
196221521,470,17.061187
196221522,470,17.061187
196221523,470,17.061187
720310098,502,17.060878
720310099,502,17.060878
886031614,507,17.057622
886031615,507,17.057622
725107995,502,17.055326
888889772,507,17.054956
888889773,507,17.054956
888889774,507,17.054956
198210791,470,17.052179
897345947,507,17.047123
900576086,507,17.044152
900576087,507,17.044152
489853918,492,17.043225
489853919,492,17.043225
735706678,502,17.043204
735706679,502,17.043204
44481895,433,17.042739
301017769,480,17.042263
736846862,502,17.041911
736846863,502,17.041911
164190055,465,17.038714
44802724,433,17.035786
44802725,433,17.035786
44802726,433,17.035786
743742718,502,17.034140
743742719,502,17.034140
606903593,497,17.034028
202324095,470,17.033866
55035561,438,17.033615
202399841,470,17.033532
607428729,497,17.033300
607761647,497,17.032838
165555559,465,17.031258
165561910,465,17.031223
165561911,465,17.031223
747939007,502,17.029450
916876287,507,17.029337
917554631,507,17.028726
750000748,502,17.027156
750000749,502,17.027156
750000750,502,17.027156
55644487,438,17.023105
204888542,470,17.022655
204888543,470,17.022655
757135643,502,17.019270
168270953,465,17.016629
759861074,502,17.016280
759861075,502,17.016280
620752511,497,17.015045
37360009,428,17.014516
37360011,428,17.014516
621714540,497,17.013744
621714541,497,17.013744
621714542,497,17.013744
253983743,475,17.012796
938559771,507,17.010070
938559775,507,17.010070
12499963,401,17.009241
138535359,460,17.008262
512074907,492,17.005521
512517991,492,17.004788
628700443,497,17.004360
170774866,465,17.003370
170774867,465,17.003370
46340775,433,17.003211
37802302,428,17.003039
37802303,428,17.003039
46436255,433,17.001228
774186721,502,17.000752
139692862,460,17.000717
139692863,460,17.000717
632813134,497,16.998889
632813135,497,16.998889
516214537,492,16.998697
638623687,497,16.991226
638833199,497,16.990951
641132783,497,16.987940
141978617,460,16.986017
524571646,492,16.985100
524571647,492,16.985100
791909807,502,16.981972
31522507,423,16.981215
31522510,423,16.981215
31522511,423,16.981214
116486823,455,16.980405
144091295,460,16.972662
434117991,487,16.972478
532468297,492,16.972470
653220046,497,16.972308
653220047,497,16.972308
533936082,492,16.970145
533936083,492,16.970145
435556011,487,16.969656
356975335,482,16.965111
540836967,492,16.959307
540955785,492,16.959122
119794459,455,16.954846
668173902,497,16.953403
668173903,497,16.953403
98285755,450,16.948847
26597116,418,16.947251
26597117,418,16.947251
26597118,418,16.947251
26597119,418,16.947251
551154415,492,16.943385
449270124,487,16.943251
449270125,487,16.943251
449270126,487,16.943251
121520169,455,16.941819
450508571,487,16.940910
367500385,482,16.940116
367500391,482,16.940116
99449307,450,16.938015
99449319,450,16.938015
99449323,450,16.938015
917440162,504,16.928067
917440163,504,16.928067
917440164,504,16.928067
917440165,504,16.928067
917440166,504,16.928067
917440167,504,16.928067
7332399,386,16.925479
563771729,492,16.924353
563771730,492,16.924353
563771731,492,16.924353
307591871,477,16.917028
82928606,445,16.916700
82928607,445,16.916700
379071670,482,16.913530
379071671,482,16.913530
22441319,413,16.912606
380116607,482,16.911173
310078441,477,16.910062
310078450,477,16.910062
310078451,477,16.910062
310078454,477,16.910062
310078455,477,16.910062
83910353,445,16.905788
83910354,445,16.905788
83910355,445,16.905788
83910363,445,16.905788
83910366,445,16.905788
83910367,445,16.905788
383606875,482,16.903353
774090140,499,16.899256
774090141,499,16.899256
774090142,499,16.899256
7532665,386,16.896677
475682398,487,16.894808
475682399,487,16.894808
955498921,504,16.894792
958799566,504,16.891975
958799567,504,16.891975
959057529,504,16.891755
960413465,504,16.890601
960413467,504,16.890601
259460827,472,16.886730
318638985,477,16.886541
319841723,477,16.883293
320723271,477,16.880920
261628694,472,16.879481
261628695,472,16.879481
261628697,472,16.879481
975679647,504,16.877732
980942236,504,16.873347
980942237,504,16.873347
980942238,504,16.873347
70799362,440,16.872956
70799363,440,16.872956
70799367,440,16.872956
70799369,440,16.872956
86969775,445,16.872671
982462482,504,16.872085
982462483,504,16.872085
264281054,472,16.870701
264281055,472,16.870701
653138556,494,16.869963
653138557,494,16.869963
653138558,494,16.869963
653138559,494,16.869963
806202215,499,16.865762
401357025,482,16.864757
991656956,504,16.864498
991656957,504,16.864498
991656958,504,16.864498
71530655,440,16.863369
808987135,499,16.862927
809204790,499,16.862706
809204791,499,16.862706
810348862,499,16.861544
810348863,499,16.861544
996785567,504,16.860299
997252007,504,16.859919
997252009,504,16.859919
998412031,504,16.858973
6355687,381,16.858693
1000000751,504,16.857679
1000000996,504,16.857679
1000000997,504,16.857679
1000000998,504,16.857679
1000001007,504,16.857679
815746495,499,16.856089
815746539,499,16.856089
218920073,467,16.855659
219186815,467,16.854590
269866454,472,16.852526
269866455,472,16.852526
820187163,499,16.851631
59038043,435,16.850576
1009514190,504,16.849980
1009514191,504,16.849980
220740745,467,16.848393
220749212,467,16.848359
220749213,467,16.848359
220749214,467,16.848359
1013148098,504,16.847061
1013148099,504,16.847061
59309193,435,16.846262
1723519,349,16.846129
72994431,440,16.844502
827670014,499,16.844177
827670015,499,16.844177
828952721,499,16.842907
828952722,499,16.842907
828952723,499,16.842907
273184722,472,16.841924
273184723,472,16.841924
551085659,489,16.840176
73380747,440,16.839593
59736964,435,16.839500
59736965,435,16.839500
59736966,435,16.839500
59736971,435,16.839500
680233119,494,16.836248
836710559,499,16.835270
837346239,499,16.834648
338644990,477,16.834186
338644991,477,16.834186
224361270,467,16.834138
224361271,467,16.834138
838267257,499,16.833747
682766542,494,16.833171
682766543,494,16.833171
683357321,494,16.832456
1032248961,504,16.831900
74192649,440,16.829368
686013615,494,16.829246
843750844,499,16.828407
843750845,499,16.828407
843750846,499,16.828407
184077951,462,16.827081
688286049,494,16.826511
688286143,494,16.826511
3542887,366,16.822563
227699820,467,16.821217
227699821,467,16.821217
227699822,467,16.821217
851498249,499,16.820927
851777598,499,16.820659
851777599,499,16.820659
854843710,499,16.817720
854843711,499,16.817720
